"Age"	"Adjective"	"FileSpeaker"	"Function"	"Priming"	"Gender"	"Occupation"	"ConversationType"	"AudienceSize"	"very"	"really"	"Freq"	"Gradabilty"	"SemanticCategory"
"26-40"	"other"	"<S1A-042:1$B>"	"Predicative"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	0	1.26582	"NotGradable"	"HumanPropensity"
"17-25"	"other"	"<S1A-043:1$B>"	"Attributive"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	0	0.77348	"NotGradable"	"Value"
"17-25"	"other"	"<S1A-043:1$A>"	"Predicative"	"Prime"	"Male"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	0	0.44199	"Gradable"	"HumanPropensity"
"17-25"	"other"	"<S1A-043:1$A>"	"Predicative"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	0	4.53039	"Gradable"	"Value"
"17-25"	"other"	"<S1A-043:1$B>"	"Attributive"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	0	0.33149	"NotGradable"	"NoSemType"
"17-25"	"bad"	"<S1A-044:1$B>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	0	2.76243	"NotGradable"	"Value"
"17-25"	"other"	"<S1A-044:1$B>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	1	0.1105	"NotGradable"	"NoSemType"
"17-25"	"other"	"<S1A-044:1$B>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	0	0.33149	"NotGradable"	"Value"
"17-25"	"nice"	"<S1A-044:1$B>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	1	7.29282	"NotGradable"	"HumanPropensity"
"17-25"	"other"	"<S1A-044:1$A>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	0	1.21547	"NotGradable"	"HumanPropensity"
"17-25"	"other"	"<S1A-044:1$A>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	1	1.21547	"NotGradable"	"HumanPropensity"
"17-25"	"funny"	"<S1A-045:1$B>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	0	0	3.20442	"NotGradable"	"HumanPropensity"
"17-25"	"other"	"<S1A-045:1$B>"	"Attributive"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	1	0	1.10497	"NotGradable"	"Value"
"17-25"	"interesting"	"<S1A-045:1$B>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	1	0	2.09945	"Gradable"	"Value"
"26-40"	"other"	"<S1A-046:1$B>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	0	0.40816	"NotGradable"	"HumanPropensity"
"17-25"	"good"	"<S1A-047:1$A>"	"Predicative"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"MixedSex"	"3+"	0	1	20.55249	"NotGradable"	"Value"
"17-25"	"other"	"<S1A-047:1$C>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"3+"	0	1	1.32597	"NotGradable"	"HumanPropensity"
"17-25"	"other"	"<S1A-047:1$A>"	"Attributive"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"MixedSex"	"3+"	0	0	0.44199	"NotGradable"	"NoSemType"
"26-40"	"interesting"	"<S1A-048:1$B>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"3+"	0	1	3.26531	"Gradable"	"Value"
"26-40"	"interesting"	"<S1A-048:1$B>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"3+"	0	1	3.26531	"Gradable"	"Value"
"26-40"	"bad"	"<S1A-048:1$A>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"3+"	0	1	2.85714	"NotGradable"	"Value"
"26-40"	"other"	"<S1A-048:1$B>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"3+"	1	0	0.81633	"NotGradable"	"Dimension"
"41-80"	"other"	"<S1A-049:1$A>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"3+"	0	0	1.23457	"NotGradable"	"HumanPropensity"
"41-80"	"good"	"<S1A-049:1$B>"	"Predicative"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"MixedSex"	"3+"	1	0	20.98765	"NotGradable"	"Value"
"41-80"	"good"	"<S1A-049:1$A>"	"Attributive"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"3+"	1	0	20.98765	"NotGradable"	"Value"
"17-25"	"good"	"<S1A-050:1$A>"	"Attributive"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	0	20.55249	"NotGradable"	"Value"
"17-25"	"other"	"<S1A-050:1$A>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	1	0.77348	"NotGradable"	"Value"
"17-25"	"other"	"<S1A-050:1$A>"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	1	0.77348	"NotGradable"	"PhysicalProperty"
"17-25"	"nice"	"<S1A-050:1$A>"	"Predicative"	"Prime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	1	7.29282	"NotGradable"	"HumanPropensity"
